GraphDist;Graph2Vec;GL2Vec;WaveletCh;GL2Vec128
109.82010317435521;0.0011799280192622337;0.056541749335901954;9.67845120203301e-16;0.08560423646780455
245.13545999559773;0.015419782813840658;4.074222905968635;3.254262736790598;3.779154094359205
458.7592117686198;0.015719591726791632;2.973332332201509;7.040113001987878;3.340172435702981
634.5035615700053;0.014772552535039785;2.435236682594913;11.384393394571687;2.4621302817070876
785.6622550614215;0.015903865823411828;2.3738115392555863;16.119251836182972;2.2320012827509417
298.17777071018963;0.015413578722877729;4.117140135747599;3.2542627367905976;3.8092855133812105
487.25446727079014;0.015069949570489695;2.9784133276978757;7.040113001987878;3.3387236228225357
647.5403875017419;0.014906522215937941;2.5006554365521727;11.384393394571687;2.5229612771797396
787.8481382087768;0.016076766829731148;2.3274582691647514;16.119251836182972;2.2023031157920956
97.5889675761114;0.001107839905258968;0.12089435232243774;2.044598840074732e-15;0.10024551700749645
143.30240793840895;0.0019877230103054044;0.11124146108257443;2.240272968143889e-15;0.10456574262581261
267.732258975605;0.015472103945290123;4.167533301291149;3.2542627367905976;3.8473426758411393
465.47344935772844;0.015139877309658817;3.01465292672573;7.040113001987878;3.3876957837984265
637.2985712110055;0.014879731064723921;2.5189573526802556;11.384393394571687;2.54304481825663
783.2041712379639;0.015823342861791788;2.3077835626260907;16.119251836182972;2.1829473239327286
314.70040005604903;0.015650707394021485;4.086167214270687;3.2542627367905976;3.7829989569691023
485.5488094391258;0.015134452107602142;3.0077831411137796;7.040113001987878;3.3666310236258687
640.8722850579095;0.014845715980725505;2.505159194462259;11.384393394571687;2.5327685788296974
789.308135018729;0.015443904379141093;2.3358484645332567;16.119251836182972;2.2013306161823185
101.22072652974933;0.0008664334106790989;0.012035557001425603;1.6069345727769367e-15;0.02159661160214218
117.73981034244434;0.000838112207249316;0.01780492360021622;1.8898138375573083e-15;0.0375152634168386
280.5795338533937;0.01549289101283803;4.0839274326640504;3.2542627367905976;3.7911870159409813
464.3758305693004;0.01511673293995867;2.98054034577063;7.040113001987878;3.335846287356958
641.2808039515362;0.014927134874039514;2.4764681852005683;11.384393394571687;2.5216603717825543
792.4946705860671;0.015242438175296736;2.3272634257176295;16.119251836182972;2.1962800017334003
297.2579418675606;0.015635464625546408;4.0915525979261975;3.2542627367905976;3.777607969627764
485.2728488340117;0.015107781852076823;2.9270020212203174;7.040113001987878;3.269407052111537
651.8147019845946;0.014821935575815796;2.450993814522771;11.384393394571687;2.4685820134452237
796.9036390416934;0.015344880040517468;2.3417002765002053;16.119251836182972;2.214152281518693
89.54159291923249;0.0004456685841389258;0.048703245695452466;1.5061556138875941e-15;0.04253724371595839
129.15062023267893;0.0021589784200382093;0.04386583662203554;2.1561433497121054e-15;0.039927741174930934
277.9637233406764;0.01559628660608946;4.141166434920074;3.2542627367905976;3.825250100795347
471.5067886559644;0.015251895847916532;2.961631458314796;7.040113001987878;3.312936570427085
642.7191985110471;0.014824407651280578;2.4468642058256598;11.384393394571687;2.467505731387386
792.9002917485209;0.015282625148970176;2.336002689436969;16.119251836182972;2.2057096618735264
313.96744464895846;0.015411162147866708;4.083245453623103;3.2542627367905976;3.783814024232246
488.12044003834194;0.015811921469926108;3.0299715849276856;7.040113001987878;3.4337335596386938
647.9753159931274;0.014871537148800918;2.5183832359751457;11.384393394571687;2.53581052457071
788.0906763786686;0.015307177872161778;2.345758183372151;16.119251836182972;2.2030525245991206
243.88019463665057;0.0013399506846458462;0.03754137806501226;8.881513142322102e-16;0.03737922188555554
169.08731749587866;0.0016098341504618666;0.02946006945791143;1.895921618818008e-15;0.03626615928946191
350.6171684021017;0.015579262861791296;4.1224426439841535;3.2542627367905976;3.8135155239015686
496.67561270260234;0.01505432576765796;2.9966002596364785;7.040113001987878;3.3212403758067164
646.2596075130257;0.014850065003732161;2.4675415430957384;11.384393394571687;2.4914509252968684
784.4545384158907;0.015606001468677286;2.375880194435126;16.119251836182972;2.229841285694027
323.706323998608;0.01605391248320495;4.072792005040326;3.2542627367905976;3.783218029009
465.33927899892836;0.015062891933143247;2.983931769680132;7.040113001987878;3.3323922198249414
630.0203247476318;0.014822263117218402;2.480864006999528;11.384393394571687;2.5198034153192195
778.7808223157065;0.015463566325395684;2.3720129533858714;16.119251836182972;2.2361382961331264
280.01259460621446;0.015710396115582014;4.042458083287763;3.2542627367905985;3.7404440800797114
