,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,740.3229290694904,14.0,4.0,743.3499999999993,0.7604961832061069,12.0,93.0
1,756.9941532920387,15.0,4.0,721.2666666666661,0.7661596958174905,11.0,87.0
2,931.7595435270605,19.0,1.0,728.3333333333335,0.9552806850618458,18.0,38.0
3,756.274196732515,15.0,4.0,722.2333333333328,0.7797101449275362,11.0,85.0
4,687.4080144216093,13.0,5.0,720.5499999999992,0.6931608133086876,12.0,105.0
5,732.5699567041397,15.0,5.0,731.2666666666661,0.7492795389048992,12.0,88.0
6,752.8330745606984,15.0,4.0,720.2499999999994,0.7751937984496124,11.0,86.0
7,719.9308919108438,14.0,5.0,722.366666666666,0.7379110251450677,11.0,93.0
8,764.7093968898913,15.0,4.0,721.2499999999995,0.7807953443258971,11.0,86.0
9,804.4594131810422,15.0,3.0,731.2666666666662,0.8143261074458058,12.0,88.0
10,707.7983534991429,14.0,5.0,722.4999999999993,0.7183908045977011,12.0,102.0
11,924.2484258182743,19.0,1.0,730.3333333333335,0.947267497603068,18.0,38.0
12,749.5975478030543,14.0,4.0,720.3333333333327,0.7704130643611912,11.0,91.0
13,717.034811683558,14.0,5.0,725.316666666666,0.7323671497584541,11.0,90.0
14,925.5347398688612,19.0,1.0,729.3333333333334,0.949343339587242,18.0,38.0
15,699.451251136422,14.0,5.0,720.3333333333327,0.7136060894386299,11.0,91.0
16,909.5661586421454,19.0,1.0,743.3333333333335,0.9510763209393346,18.0,38.0
17,709.5180962739887,14.0,5.0,723.3333333333327,0.732421875,11.0,91.0
18,764.3077127601357,16.0,4.0,732.1333333333329,0.7937743190661478,12.0,80.0
19,905.3650912452813,19.0,1.0,740.3333333333335,0.9494047619047619,18.0,38.0
20,788.4111969879193,16.0,4.0,734.0999999999996,0.8062977099236641,12.0,78.0
21,730.2996423894485,15.0,5.0,733.2499999999994,0.7417840375586855,12.0,87.0
22,709.6275847478214,14.0,5.0,722.416666666666,0.7232401157184185,12.0,97.0
23,757.4214334123865,16.0,4.0,731.0999999999996,0.7933723196881092,12.0,78.0
24,725.7514061734489,15.0,5.0,747.2333333333328,0.7480769230769231,12.0,86.0
25,717.5947733188856,14.0,5.0,738.3833333333328,0.7295719844357976,12.0,95.0
26,927.6190095613239,19.0,1.0,737.3333333333334,0.9485500467726847,18.0,38.0
27,925.5948889663589,19.0,1.0,737.3333333333334,0.9554079696394687,18.0,38.0
28,816.5353858547303,16.0,3.0,720.1333333333329,0.8364661654135338,12.0,80.0
29,787.879209304605,16.0,4.0,721.083333333333,0.8054474708171206,11.0,76.0
30,796.6814898541181,15.0,3.0,726.2166666666661,0.8225650916104147,12.0,85.0
31,734.1802451195194,15.0,5.0,727.2666666666661,0.757185332011893,12.0,88.0
32,776.7804778246353,16.0,4.0,722.0833333333329,0.7963496637848223,11.0,76.0
33,926.4329411205824,19.0,1.0,740.3333333333335,0.9538017324350336,18.0,38.0
34,698.858476837064,14.0,5.0,723.366666666666,0.7055503292568204,12.0,94.0
35,741.2778361329347,15.0,4.0,735.2666666666661,0.7636363636363637,12.0,88.0
36,725.79128803142,15.0,5.0,721.3333333333326,0.7459407831900668,13.0,93.0
37,774.6629815346151,16.0,4.0,727.1333333333329,0.7948473282442748,12.0,80.0
38,750.2849177802841,14.0,4.0,743.3833333333328,0.7618595825426945,12.0,95.0
39,747.5018364864443,15.0,4.0,721.1833333333328,0.7625830959164293,11.0,82.0
40,933.0700407096851,19.0,1.0,720.3333333333334,0.9524733268671193,18.0,38.0
41,745.668238958739,15.0,4.0,720.2333333333328,0.7659372026641293,11.0,85.0
42,797.1488094338936,15.0,3.0,742.2499999999994,0.8152380952380952,12.0,87.0
43,704.6472768748024,14.0,5.0,743.3833333333328,0.7232401157184185,12.0,95.0
44,742.3858424416184,15.0,4.0,720.2333333333329,0.7568850902184235,11.0,85.0
45,749.4696319293589,14.0,4.0,721.366666666666,0.7672413793103449,11.0,93.0
46,920.4558219905223,19.0,1.0,723.3333333333334,0.9486203615604186,18.0,38.0
47,772.3048815227353,16.0,4.0,743.0666666666662,0.7941747572815534,12.0,76.0
48,722.4000999608002,14.0,5.0,720.366666666666,0.7380952380952381,11.0,93.0
49,752.2481532724648,15.0,4.0,744.2666666666662,0.778743961352657,12.0,88.0
50,924.9955518620029,19.0,1.0,737.3333333333335,0.9506641366223909,18.0,38.0
51,788.136435512446,16.0,4.0,744.0999999999996,0.8081002892960463,12.0,78.0
52,752.3938397177626,15.0,4.0,720.2666666666661,0.7681992337164751,11.0,87.0
53,813.6567967053542,16.0,3.0,722.0999999999996,0.8367149758454107,12.0,78.0
54,696.8450287716101,14.0,5.0,722.366666666666,0.7109004739336493,11.0,93.0
55,919.026832776967,19.0,1.0,723.3333333333335,0.9540669856459331,17.0,37.0
56,801.3072458466747,15.0,3.0,720.2499999999993,0.8281853281853282,12.0,87.0
57,918.0204571889769,19.0,1.0,751.3333333333335,0.9489894128970163,19.0,39.0
58,691.5538453469754,14.0,5.0,720.2999999999994,0.7062146892655368,11.0,89.0
59,701.1146758785462,14.0,5.0,745.3999999999993,0.7142857142857143,12.0,96.0
60,768.1528984888321,15.0,4.0,725.2333333333328,0.7847619047619048,12.0,86.0
61,749.480611370903,15.0,4.0,723.1833333333328,0.7688634192932188,11.0,82.0
62,826.2555938093656,16.0,3.0,724.0999999999996,0.8521057786483839,12.0,78.0
