,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,881.3713942389682,10.0,1.0,748.3333333333335,0.9278252611585945,18.0,38.0
1,878.9592012152655,12.0,1.0,754.4166666666667,0.9193245778611632,18.0,43.0
2,747.1958512932226,15.0,4.0,723.2333333333328,0.7931707317073171,11.0,85.0
3,835.2759062922709,11.0,2.0,736.4000000000001,0.8827519379844961,18.0,42.0
4,841.6204565765163,13.0,2.0,737.4166666666667,0.8814531548757171,18.0,43.0
5,884.9971614467736,13.0,1.0,732.3333333333334,0.9337231968810916,18.0,38.0
6,797.3606907209859,14.0,3.0,723.3666666666661,0.8364661654135338,11.0,93.0
7,801.6743525720569,11.0,3.0,731.3833333333334,0.8352713178294574,18.0,41.0
8,764.7511000342764,15.0,4.0,725.2999999999995,0.8060135790494666,11.0,89.0
9,874.5626144488792,12.0,1.0,753.3333333333335,0.9204980842911877,19.0,39.0
10,739.7816962005854,10.0,4.0,745.3833333333334,0.7748538011695907,19.0,42.0
11,811.1187739632003,15.0,3.0,741.3666666666662,0.8454198473282443,12.0,94.0
12,760.5482264364216,12.0,3.0,731.6333333333325,0.7982370225269344,11.0,109.0
13,814.4772061275966,16.0,3.0,727.133333333333,0.8480769230769231,11.0,79.0
14,804.8147600118855,15.0,3.0,723.3499999999995,0.8453307392996109,12.0,93.0
15,789.9896009760828,13.0,3.0,732.4000000000002,0.8368320610687023,18.0,42.0
16,871.8254133867513,10.0,1.0,747.3333333333335,0.9180790960451978,18.0,38.0
17,882.7618460800084,15.0,1.0,747.4333333333335,0.928709055876686,18.0,44.0
18,745.6203578194614,14.0,4.0,728.3833333333334,0.7838095238095238,18.0,41.0
19,872.0951072477235,10.0,1.0,745.3333333333335,0.9185043144774688,18.0,38.0
20,875.2031667724455,12.0,1.0,724.3333333333334,0.9275929549902152,18.0,38.0
21,884.0278680178512,13.0,1.0,724.3333333333334,0.9371428571428572,18.0,38.0
22,866.6031985935172,8.0,1.0,723.3333333333335,0.90310442144873,18.0,38.0
23,871.7037732587548,8.0,1.0,737.3333333333335,0.9141221374045801,18.0,38.0
24,710.162505694303,13.0,5.0,722.5499999999993,0.7423664122137404,11.0,104.0
25,870.4123013511268,11.0,1.0,746.3333333333335,0.9147727272727273,18.0,38.0
26,878.257172027786,15.0,1.0,730.3333333333335,0.9344894026974951,18.0,38.0
27,741.4508746501631,13.0,4.0,730.3833333333334,0.7850287907869482,18.0,41.0
28,873.1487869592484,12.0,1.0,721.4166666666669,0.9221902017291066,17.0,42.0
29,804.4721582689629,14.0,3.0,722.3999999999994,0.8364839319470699,11.0,95.0
30,681.0169979205388,13.0,5.0,720.3999999999993,0.7230320699708455,10.0,94.0
31,869.5513700071854,11.0,1.0,741.3333333333335,0.923828125,18.0,38.0
32,727.1556067990693,14.0,4.0,722.4499999999994,0.7649857278782112,11.0,98.0
33,877.9262131538873,13.0,1.0,733.3333333333334,0.933009708737864,18.0,38.0
34,879.8346088398475,10.0,1.0,732.3333333333334,0.9169811320754717,18.0,38.0
35,790.3940644693087,13.0,3.0,741.4000000000001,0.8322211630123928,18.0,42.0
