,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,709.0448144131191,14.0,5.0,722.5833333333326,0.7389162561576355,13.0,108.0
1,906.1588088304882,19.0,1.0,744.3333333333334,0.9534883720930233,18.0,38.0
2,720.8082654811794,15.0,5.0,721.2333333333329,0.7511781338360037,11.0,85.0
3,908.0312439501995,19.0,1.0,753.3333333333335,0.9511737089201878,18.0,38.0
4,908.9687203617575,19.0,1.0,732.3333333333335,0.9517958412098299,18.0,38.0
5,720.2726547910747,15.0,5.0,734.2666666666661,0.750965250965251,12.0,88.0
6,796.7466325560695,16.0,3.0,725.133333333333,0.8452497551420176,12.0,80.0
7,694.6091528147242,14.0,5.0,725.3833333333328,0.7262247838616714,11.0,94.0
8,908.5497202622828,19.0,1.0,738.3333333333334,0.9528392685274302,19.0,39.0
9,902.0502927674816,19.0,1.0,735.3333333333335,0.9503342884431709,18.0,38.0
10,699.0151878445924,14.0,5.0,724.3333333333328,0.7387033398821218,11.0,91.0
11,739.1303820034682,15.0,4.0,745.2666666666661,0.7738209817131858,12.0,88.0
12,724.390117417697,15.0,5.0,746.2333333333328,0.7530981887511916,12.0,86.0
13,724.8768855046349,15.0,4.0,722.2499999999994,0.7665071770334928,11.0,86.0
14,748.807716473674,14.0,4.0,743.3333333333327,0.7786407766990291,12.0,92.0
15,784.5214365573356,15.0,3.0,720.1833333333328,0.8049010367577757,11.0,82.0
16,685.191977894556,14.0,5.0,740.366666666666,0.7170172084130019,12.0,94.0
17,783.1964625344801,15.0,3.0,722.266666666666,0.8041431261770244,12.0,88.0
18,703.413923609601,14.0,5.0,728.316666666666,0.7270168855534709,12.0,91.0
19,700.1688351500001,15.0,5.0,725.2333333333327,0.7370478983382209,12.0,86.0
20,756.5982211198409,15.0,4.0,729.1833333333327,0.7777777777777778,12.0,83.0
21,721.9320075591319,15.0,5.0,721.2166666666661,0.7546071774975752,11.0,84.0
22,714.6199808815409,15.0,5.0,723.2666666666661,0.7459252157238735,12.0,88.0
23,810.1321805567036,17.0,3.0,727.9833333333329,0.8488038277511962,12.0,71.0
24,905.6880839853102,19.0,1.0,721.3333333333335,0.9490084985835694,17.0,37.0
25,891.0196309379282,19.0,1.0,731.3333333333334,0.9508357915437562,18.0,38.0
26,700.6330829213011,14.0,5.0,733.366666666666,0.724903474903475,12.0,94.0
27,725.0518785325914,15.0,5.0,721.2333333333329,0.7511870845204178,11.0,85.0
28,901.0595452033476,19.0,1.0,743.3333333333335,0.9452313503305004,18.0,38.0
29,753.0604175737678,15.0,4.0,739.1999999999995,0.7815442561205274,12.0,84.0
30,715.811741831679,15.0,5.0,724.1833333333328,0.75,11.0,82.0
31,779.504546622599,16.0,4.0,722.1166666666663,0.8068833652007649,11.0,78.0
32,909.7723906006331,19.0,1.0,753.3333333333335,0.950523311132255,18.0,38.0
33,757.1213759510023,15.0,4.0,747.2499999999994,0.7949465500485908,12.0,87.0
34,693.1090180835291,14.0,5.0,736.4166666666661,0.7129277566539924,12.0,97.0
35,900.994807368283,19.0,1.0,737.3333333333335,0.9542356377799416,18.0,38.0
36,728.4607296151191,15.0,5.0,731.2666666666662,0.7569113441372736,12.0,88.0
37,692.7158623633777,14.0,5.0,736.3833333333328,0.7338551859099804,12.0,95.0
38,756.6638394209069,16.0,4.0,721.0999999999995,0.7928709055876686,12.0,78.0
39,721.8473924018753,15.0,5.0,732.2666666666661,0.7521865889212828,12.0,88.0
40,713.9922432842011,14.0,5.0,742.3999999999994,0.7377358490566037,12.0,96.0
41,680.5002781831815,13.0,5.0,732.3999999999993,0.7156488549618321,11.0,95.0
42,691.7957463936183,14.0,5.0,720.2999999999994,0.7288629737609329,11.0,89.0
43,720.0167893481444,15.0,5.0,727.1833333333328,0.7560038424591738,11.0,82.0
44,789.6208208810485,15.0,3.0,729.2499999999994,0.8276533592989289,11.0,86.0
45,891.5910832360419,19.0,1.0,736.3333333333335,0.9477756286266924,18.0,38.0
46,735.3808288241562,15.0,4.0,746.2666666666662,0.7695274831243973,12.0,88.0
47,737.2221976445111,15.0,4.0,741.2666666666662,0.7699711260827719,12.0,88.0
48,686.6702640679158,14.0,5.0,720.3833333333326,0.7136060894386299,12.0,95.0
49,768.9644178860124,16.0,4.0,724.1166666666662,0.7980769230769231,11.0,78.0
50,915.4001550668268,19.0,1.0,734.3333333333335,0.9527410207939508,18.0,38.0
51,707.4232077758136,15.0,5.0,721.2833333333326,0.7497546614327772,12.0,89.0
52,695.3447840349979,14.0,5.0,723.3333333333327,0.7309941520467836,12.0,92.0
53,689.6280847047208,14.0,5.0,724.366666666666,0.7225433526011561,11.0,93.0
54,726.0089143895385,15.0,5.0,728.2666666666661,0.7557034220532319,12.0,88.0
55,720.7785373377139,15.0,5.0,729.2833333333328,0.7558823529411764,12.0,89.0
56,760.7009191580752,15.0,3.0,721.2333333333328,0.7973856209150327,12.0,86.0
57,734.9087712578807,15.0,4.0,746.2666666666662,0.7699711260827719,12.0,88.0
58,726.390101071152,14.0,5.0,722.3833333333326,0.7559129612109745,11.0,94.0
59,750.1454722423657,15.0,4.0,725.1999999999995,0.779245283018868,11.0,83.0
60,892.3331168223551,19.0,1.0,720.3333333333335,0.9545014520813165,18.0,38.0
61,796.1731183460145,16.0,3.0,721.0833333333329,0.839458413926499,12.0,77.0
62,761.99987484738,16.0,4.0,745.133333333333,0.8005725190839694,12.0,80.0
63,684.6787167812281,14.0,5.0,721.3333333333328,0.7109004739336493,11.0,91.0
64,719.8749613108198,15.0,4.0,723.2333333333328,0.753527751646284,11.0,85.0
65,784.1976569707022,15.0,3.0,723.2166666666661,0.8194980694980695,12.0,85.0
66,895.6337366663423,19.0,1.0,742.3333333333335,0.9454191033138402,18.0,38.0
67,713.299135226877,15.0,5.0,722.2166666666661,0.7404295051353875,11.0,84.0
68,752.1907529265023,15.0,4.0,747.2333333333328,0.7819047619047619,12.0,86.0
69,900.602414326961,19.0,1.0,738.3333333333335,0.9507246376811594,18.0,38.0
70,730.4567147317234,15.0,5.0,738.2666666666661,0.7551789077212806,12.0,88.0
71,726.5919706324362,15.0,4.0,730.1666666666662,0.7611374407582938,11.0,81.0
72,735.3143707875554,15.0,4.0,734.1333333333329,0.7720306513409961,11.0,79.0
73,747.4428852026429,16.0,4.0,731.1333333333329,0.7925784966698383,12.0,80.0
74,893.0247039285268,19.0,1.0,725.3333333333334,0.9517716535433071,18.0,38.0
75,707.6921643036246,15.0,5.0,720.2333333333328,0.7449664429530202,11.0,85.0
76,703.2098758833599,14.0,5.0,721.3999999999994,0.7204502814258912,11.0,95.0
77,725.9450333176405,15.0,4.0,730.2666666666661,0.7604166666666666,12.0,88.0
78,762.8332823387265,16.0,4.0,721.0833333333329,0.8015267175572519,11.0,76.0
79,680.6796066373105,13.0,5.0,721.366666666666,0.7122507122507122,11.0,93.0
80,693.124593766097,13.0,5.0,722.4499999999992,0.7288629737609329,11.0,98.0
81,743.8534743158709,15.0,4.0,727.2833333333327,0.7782101167315175,12.0,89.0
82,770.5991196428831,16.0,4.0,731.1333333333329,0.8067632850241546,12.0,80.0
83,731.9195282354796,15.0,5.0,729.2666666666661,0.7530747398297067,12.0,88.0
84,734.4834609762413,14.0,4.0,722.3333333333328,0.7662835249042146,11.0,91.0
85,772.7706660105822,16.0,4.0,741.133333333333,0.8040152963671128,12.0,80.0
86,725.0701175470297,15.0,5.0,720.2499999999995,0.7478591817316841,11.0,86.0
87,725.2867333810743,14.0,5.0,724.2999999999994,0.7483751160631383,11.0,89.0
88,786.2341124432899,16.0,4.0,741.1333333333328,0.8146013448607109,13.0,81.0
89,689.6946399471228,14.0,5.0,721.3499999999993,0.7102272727272727,11.0,92.0
90,730.4902410117274,15.0,4.0,727.1833333333328,0.7753134040501446,11.0,82.0
91,725.7063310661017,15.0,4.0,737.2666666666661,0.7611798287345385,12.0,88.0
92,903.3962903491351,19.0,1.0,745.3333333333334,0.9520153550863724,18.0,38.0
93,694.5873908647702,14.0,5.0,720.2833333333327,0.7253384912959381,11.0,88.0
94,756.3259684822319,15.0,4.0,725.2833333333328,0.7897334649555775,12.0,89.0
95,900.8312613716439,19.0,1.0,743.3333333333334,0.954368932038835,19.0,39.0
96,725.3663008123792,15.0,5.0,722.2499999999994,0.750465549348231,11.0,86.0
97,735.6135716437363,15.0,4.0,722.1833333333328,0.76930409914204,11.0,82.0
98,685.224054271089,14.0,5.0,733.3999999999993,0.7122507122507122,12.0,96.0
99,757.8093789167626,16.0,4.0,721.0666666666662,0.8013371537726839,12.0,76.0
100,712.8012914357901,15.0,5.0,731.2666666666661,0.7480769230769231,12.0,88.0
101,734.5277753256003,15.0,4.0,722.1666666666662,0.7688634192932188,11.0,81.0
102,721.0401250555649,15.0,4.0,722.1999999999995,0.7523629489603024,11.0,83.0
103,735.9183451309676,15.0,4.0,731.2499999999994,0.7604562737642585,12.0,87.0
104,715.4384514269333,15.0,5.0,730.2666666666661,0.7485822306238186,12.0,88.0
105,733.0723327940461,15.0,5.0,733.2666666666662,0.7552380952380953,12.0,88.0
106,889.8454252889865,19.0,1.0,727.3333333333335,0.9456838021338506,18.0,38.0
107,713.0087873748042,15.0,5.0,721.1999999999995,0.7459407831900668,11.0,83.0
108,745.0650135932306,15.0,4.0,720.1833333333327,0.7736030828516378,11.0,82.0
109,685.6731969049966,14.0,5.0,721.516666666666,0.7149666348903718,12.0,103.0
110,766.3251676667979,16.0,4.0,720.1499999999996,0.8015267175572519,12.0,81.0
111,731.4973484567128,15.0,4.0,726.1833333333328,0.7725072604065828,11.0,82.0
112,725.1272199392379,14.0,4.0,722.3833333333326,0.753514526710403,11.0,94.0
113,716.5897165362845,15.0,5.0,747.2666666666661,0.7495201535508638,12.0,88.0
114,755.7199183853587,16.0,4.0,723.1333333333329,0.7929050814956855,12.0,80.0
