N     Total_reward  Satisfied_customers  Customers_without_deliveries  Total_time  Total_satisfaction  Wharehouse_visits  Trips
391    887.086104                 16.0                           1.0  737.183333            0.945841               11.0   82.0
392    873.349588                 14.0                           1.0  737.333333            0.931202               18.0   38.0
393    868.949486                 12.0                           1.0  739.400000            0.915616               18.0   42.0
394    883.406902                 12.0                           1.0  720.333333            0.931034               18.0   38.0
395    876.739013                 15.0                           1.0  740.333333            0.931135               18.0   38.0
396    770.713171                 13.0                           3.0  724.383333            0.813093               18.0   41.0
397    880.136397                 12.0                           1.0  746.416667            0.922710               18.0   43.0
398    882.379044                 11.0                           1.0  753.416667            0.920530               18.0   43.0
399    875.966951                 12.0                           1.0  736.416667            0.919173               18.0   43.0
400    876.737756                 11.0                           1.0  734.333333            0.921772               18.0   38.0
401    785.307462                  9.0                           3.0  750.383333            0.823473               19.0   42.0
402    840.287329                 14.0                           2.0  746.416667            0.896347               18.0   43.0
403    839.109090                 12.0                           2.0  738.416667            0.878095               18.0   43.0
404    811.791807                 15.0                           3.0  720.333333            0.841659               11.0   91.0
405    833.732510                 13.0                           2.0  728.400000            0.880611               18.0   42.0
406    719.131931                 15.0                           5.0  720.333333            0.745714               11.0   91.0
407    766.090340                 14.0                           4.0  729.350000            0.797923               11.0   92.0
408    804.922658                 15.0                           3.0  725.300000            0.841699               11.0   89.0
409    790.271072                 10.0                           3.0  740.400000            0.818011               18.0   42.0
410    894.884792                 16.0                           1.0  726.216667            0.938402               12.0   85.0
411    878.802005                 10.0                           1.0  732.333333            0.928571               18.0   38.0
412    857.934711                 14.0                           1.0  729.450000            0.908057               11.0   98.0
413    733.780988                 14.0                           4.0  720.333333            0.778633               11.0   91.0
414    878.039549                  7.0                           1.0  736.333333            0.911877               18.0   38.0
415    762.218039                 16.0                           4.0  737.166667            0.801942               11.0   81.0
416    841.827356                 12.0                           2.0  742.400000            0.878469               18.0   42.0
417    883.254836                  7.0                           1.0  736.333333            0.925243               18.0   38.0
418    881.964282                 11.0                           1.0  725.333333            0.924618               18.0   38.0
419    879.233093                 12.0                           1.0  724.333333            0.933908               18.0   38.0
420    891.864300                 16.0                           1.0  722.250000            0.938154               12.0   87.0
421    783.864268                 15.0                           3.0  723.283333            0.823699               11.0   88.0
422    783.734703                 15.0                           3.0  721.216667            0.833172               11.0   84.0
423    790.772588                 11.0                           3.0  735.383333            0.828019               18.0   41.0
424    810.758330                 14.0                           3.0  738.400000            0.844317               11.0   95.0
425    878.633279                  9.0                           1.0  721.333333            0.915651               18.0   38.0
426    851.126921                 14.0                           2.0  725.450000            0.880037               11.0   98.0
427    854.401997                 13.0                           2.0  738.416667            0.890233               18.0   43.0
428    875.399540                  5.0                           1.0  740.333333            0.902713               18.0   38.0
429    750.593805                 10.0                           4.0  752.366667            0.789679               19.0   41.0
430    876.727635                 11.0                           1.0  739.333333            0.917387               18.0   38.0
431    826.549362                 16.0                           2.0  728.200000            0.874038               12.0   84.0
432    876.603165                  9.0                           1.0  756.333333            0.908231               19.0   39.0
433    807.145313                 14.0                           3.0  721.466667            0.842505               11.0   99.0
434    758.315768                 15.0                           4.0  720.250000            0.796350               11.0   86.0
435    713.611289                 14.0                           5.0  722.500000            0.741659               12.0  102.0
436    839.340400                 14.0                           2.0  747.400000            0.884432               18.0   42.0
437    758.915760                 14.0                           4.0  744.450000            0.792802               12.0   99.0
438    754.873288                 12.0                           4.0  721.533333            0.787996               10.0  102.0
439    760.678144                 15.0                           4.0  725.283333            0.800578               11.0   88.0
440    837.337862                 13.0                           2.0  724.483333            0.879131               17.0   46.0
441    879.719608                  8.0                           1.0  754.333333            0.915014               19.0   39.0
442    750.940203                 13.0                           4.0  726.533333            0.787585               11.0  103.0
443    796.927832                 13.0                           3.0  743.383333            0.838150               19.0   42.0
444    853.336255                 14.0                           2.0  726.400000            0.887417               11.0   95.0
445    848.961613                 16.0                           2.0  728.183333            0.897683               12.0   83.0
446    872.899942                 11.0                           1.0  725.333333            0.909438               18.0   38.0
447    874.640853                 11.0                           1.0  738.333333            0.921624               18.0   38.0
448    875.874613                 14.0                           1.0  745.416667            0.915254               18.0   43.0
449    866.669951                 17.0                           1.0  726.333333            0.935610               18.0   38.0
450    873.424537                 12.0                           1.0  720.333333            0.925643               18.0   38.0
451    739.622982                 14.0                           4.0  722.300000            0.780019               11.0   89.0
452    789.615630                 14.0                           3.0  726.466667            0.825336               11.0   99.0
453    883.297750                 11.0                           1.0  734.333333            0.927014               18.0   38.0
454    801.079474                 13.0                           3.0  723.566667            0.831120               11.0  105.0
455    764.660118                 15.0                           4.0  724.366667            0.798839               12.0   94.0
456    872.256005                  8.0                           1.0  733.333333            0.918269               18.0   38.0
457    789.039227                 13.0                           3.0  742.400000            0.830476               18.0   42.0
458    728.428232                 13.0                           4.0  731.433333            0.764762               11.0   97.0
459    877.168291                 14.0                           1.0  732.333333            0.933333               18.0   38.0
460    797.165774                 17.0                           3.0  727.066667            0.842610               11.0   75.0
461    823.444631                 14.0                           2.0  721.450000            0.883833               11.0   98.0
462    876.824844                 11.0                           1.0  734.333333            0.919508               18.0   38.0
463    876.395610                 11.0                           1.0  737.333333            0.918841               18.0   38.0
464    880.186082                 11.0                           1.0  731.333333            0.926276               18.0   38.0
465    887.447284                  8.0                           1.0  745.333333            0.920926               18.0   38.0
466    870.843916                 14.0                           1.0  738.333333            0.927308               18.0   38.0
467    891.567109                 11.0                           1.0  737.433333            0.919097               18.0   44.0
468    799.087143                 14.0                           3.0  745.400000            0.845180               18.0   42.0
469    865.618479                 11.0                           1.0  734.333333            0.918367               18.0   38.0
470    875.244924                 13.0                           1.0  729.333333            0.926386               18.0   38.0
471    797.280361                 11.0                           3.0  730.383333            0.836988               18.0   41.0
472    792.924735                 10.0                           3.0  733.383333            0.830206               18.0   41.0
473    794.470972                 11.0                           3.0  727.400000            0.833333               18.0   42.0
474    890.671241                 14.0                           1.0  741.433333            0.942995               18.0   44.0
475    881.924452                  8.0                           1.0  731.333333            0.915958               18.0   38.0
476    880.099122                 13.0                           1.0  742.333333            0.937808               18.0   38.0
477    751.023105                 12.0                           4.0  725.383333            0.787966               18.0   41.0
478    737.709296                 14.0                           4.0  721.450000            0.768939               11.0   98.0
479    779.266263                 15.0                           3.0  722.300000            0.814745               11.0   89.0
480    885.752699                 12.0                           1.0  729.333333            0.922931               18.0   38.0
481    879.534506                 13.0                           1.0  725.333333            0.930279               18.0   38.0
482    798.592110                 15.0                           3.0  722.333333            0.843544               11.0   91.0
483    780.308015                 14.0                           3.0  722.316667            0.820342               10.0   89.0
484    878.833032                 11.0                           1.0  735.333333            0.916190               18.0   38.0
485    875.938213                 10.0                           1.0  740.333333            0.917137               18.0   38.0
486    882.822879                  9.0                           1.0  748.433333            0.903558               18.0   44.0
487    753.403588                 14.0                           4.0  720.316667            0.788425               11.0   90.0
488    797.797429                 14.0                           3.0  721.316667            0.834450               10.0   89.0
489    868.814882                 11.0                           1.0  730.333333            0.917064               18.0   38.0
490    811.463796                 16.0                           3.0  727.250000            0.849341               12.0   87.0
491    868.873366                 12.0                           1.0  739.333333            0.922488               18.0   38.0
492    882.390984                 14.0                           1.0  722.416667            0.930077               17.0   42.0
493    884.606729                 15.0                           1.0  752.433333            0.933462               18.0   44.0
494    844.609786                 16.0                           2.0  732.216667            0.888354               12.0   85.0
495    830.826136                 16.0                           2.0  722.100000            0.886973               10.0   76.0
496    805.904334                 15.0                           3.0  729.283333            0.844715               11.0   88.0
497    712.491698                 15.0                           5.0  742.333333            0.749762               12.0   92.0
498    847.778244                 12.0                           2.0  724.416667            0.886686               18.0   43.0
499    841.280916                 14.0                           2.0  741.416667            0.888046               18.0   43.0
500    870.892558                  5.0                           1.0  737.333333            0.892756               19.0   39.0
501    778.929649                 13.0                           3.0  721.483333            0.815134               11.0  100.0
502    758.694957                  9.0                           4.0  734.366667            0.789070               18.0   40.0
503    880.166193                 14.0                           1.0  754.333333            0.928571               19.0   39.0
504    874.345432                 13.0                           1.0  730.333333            0.928640               18.0   38.0
505    861.091547                 16.0                           2.0  730.266667            0.886364               12.0   88.0
506    878.394958                 11.0                           1.0  735.333333            0.917148               18.0   38.0
507    867.338747                  9.0                           1.0  750.333333            0.908918               18.0   38.0
508    873.653030                 14.0                           1.0  726.333333            0.918112               18.0   38.0
509    886.632034                 13.0                           1.0  727.333333            0.935515               18.0   38.0
510    798.589916                 11.0                           3.0  730.400000            0.829747               18.0   42.0
511    861.091677                 10.0                           1.0  734.333333            0.910731               18.0   38.0
512    877.261743                 10.0                           1.0  726.333333            0.915870               18.0   38.0
513    852.574814                 15.0                           2.0  735.400000            0.898157               18.0   42.0
514    767.351326                 14.0                           4.0  727.383333            0.809153               11.0   94.0
515    873.509540                 12.0                           1.0  735.333333            0.917546               18.0   38.0
516    877.978777                 10.0                           1.0  748.333333            0.925118               18.0   38.0
517    831.928331                 13.0                           2.0  736.416667            0.869159               18.0   43.0
518    795.168346                 13.0                           3.0  737.383333            0.833969               18.0   41.0
519    869.335793                 11.0                           1.0  739.333333            0.915174               18.0   38.0
520    880.191481                  8.0                           1.0  725.333333            0.918715               18.0   38.0
521    818.121773                 16.0                           2.0  739.100000            0.878405               11.0   77.0
522    874.484329                 12.0                           1.0  734.333333            0.930502               18.0   38.0
523    799.667996                 11.0                           3.0  733.400000            0.834924               18.0   42.0
524    874.321275                 12.0                           1.0  724.333333            0.920588               18.0   38.0
525    888.490704                 13.0                           1.0  735.333333            0.934097               18.0   38.0
526    798.409223                 16.0                           3.0  729.166667            0.844878               12.0   82.0
527    801.626963                 15.0                           3.0  723.333333            0.843750               11.0   91.0
528    749.101756                 14.0                           4.0  724.400000            0.782609               11.0   95.0
529    753.521766                 13.0                           4.0  723.466667            0.789116               11.0   99.0
530    844.229054                 13.0                           2.0  755.416667            0.884652               18.0   43.0
531    854.403868                 11.0                           2.0  748.433333            0.888677               18.0   44.0
532    872.669968                 12.0                           1.0  737.333333            0.920269               18.0   38.0
533    792.760992                 10.0                           3.0  730.383333            0.820442               18.0   41.0
534    800.979603                 14.0                           3.0  738.366667            0.850485               11.0   93.0
535    873.461298                 12.0                           1.0  732.333333            0.920680               18.0   38.0
536    772.877701                 14.0                           3.0  720.433333            0.815916               12.0   98.0
537    802.166321                 14.0                           3.0  721.416667            0.836638               11.0   96.0
538    878.150102                 15.0                           1.0  729.233333            0.937977               12.0   86.0
539    867.185594                 10.0                           1.0  752.333333            0.913043               19.0   39.0
540    915.914660                 12.0                           0.0  754.433333            0.955744               18.0   44.0
541    880.566069                 10.0                           1.0  749.333333            0.920076               19.0   39.0
542    793.810476                 16.0                           3.0  722.200000            0.845043               10.0   82.0
543    880.757785                 12.0                           1.0  743.333333            0.926712               18.0   38.0
544    842.917574                 15.0                           2.0  720.250000            0.893333               11.0   86.0
545    839.592318                 14.0                           2.0  737.316667            0.889855               11.0   90.0
546    767.719105                 14.0                           4.0  730.416667            0.798486               11.0   96.0
547    881.449453                 12.0                           1.0  755.333333            0.931202               19.0   39.0
548    873.221852                 13.0                           1.0  730.333333            0.922710               18.0   38.0
549    895.415259                 16.0                           1.0  727.183333            0.941065               12.0   83.0
550    880.203157                 11.0                           1.0  752.333333            0.921919               19.0   39.0
551    877.585547                  9.0                           1.0  731.333333            0.921550               18.0   38.0
552    785.758751                 15.0                           3.0  722.216667            0.821224               11.0   84.0
553    869.347424                 11.0                           1.0  738.333333            0.924878               18.0   38.0
554    782.713159                 13.0                           3.0  722.416667            0.826996               11.0   96.0
555    875.495902                 11.0                           1.0  735.333333            0.925047               18.0   38.0
556    777.491551                 13.0                           3.0  721.433333            0.821462               11.0   97.0
557    877.476249                 10.0                           1.0  735.333333            0.921919               18.0   38.0
558    838.497572                 12.0                           2.0  749.416667            0.874525               18.0   43.0
559    782.423400                 12.0                           3.0  734.383333            0.819231               18.0   41.0
560    873.958606                 12.0                           1.0  730.333333            0.925430               18.0   38.0
561    878.089330                 11.0                           1.0  736.333333            0.918033               18.0   38.0
562    873.716916                 13.0                           1.0  725.333333            0.930233               18.0   38.0
563    746.882046                 11.0                           4.0  742.366667            0.784884               18.0   40.0
564    840.639904                 13.0                           2.0  744.416667            0.889629               18.0   43.0
565    841.991290                 14.0                           2.0  728.366667            0.889313               11.0   93.0
566    839.410616                 15.0                           2.0  748.233333            0.892204               11.0   85.0
567    873.232462                 13.0                           1.0  731.333333            0.923664               18.0   38.0
568    840.547158                 14.0                           2.0  750.400000            0.889317               19.0   43.0
569    843.178252                 14.0                           2.0  725.416667            0.883523               11.0   96.0
570    834.829221                 14.0                           2.0  732.450000            0.877041               12.0   99.0
571    763.346891                 14.0                           4.0  722.316667            0.800952               11.0   90.0
572    752.662092                 14.0                           4.0  721.416667            0.788144               11.0   96.0
573    876.939919                 10.0                           1.0  746.333333            0.917228               18.0   38.0
574    802.614306                 14.0                           3.0  732.416667            0.841954               11.0   96.0
575    787.509244                 10.0                           3.0  724.383333            0.822430               18.0   41.0
576    786.470086                 10.0                           3.0  730.416667            0.813607               18.0   43.0
577    876.972768                 12.0                           1.0  737.333333            0.927815               18.0   38.0
578    837.922670                 13.0                           2.0  725.400000            0.880342               18.0   42.0
579    793.482916                 15.0                           3.0  734.400000            0.843362               18.0   42.0
580    875.675057                 11.0                           1.0  737.333333            0.928086               18.0   38.0
581    861.090536                 12.0                           1.0  750.333333            0.912584               19.0   39.0
582    759.489685                 14.0                           4.0  730.350000            0.793006               11.0   92.0
583    873.952295                 10.0                           1.0  752.333333            0.913289               18.0   38.0
584    878.834272                 10.0                           1.0  736.333333            0.913744               18.0   38.0
585    749.965057                 13.0                           4.0  725.600000            0.786267               11.0  107.0
586    872.063155                 13.0                           1.0  732.333333            0.922115               18.0   38.0
587    847.821966                 11.0                           2.0  729.416667            0.885661               18.0   43.0
588    873.281784                 10.0                           1.0  752.333333            0.925216               18.0   38.0
589    836.110767                 12.0                           2.0  750.416667            0.868173               19.0   44.0
590    845.933995                 12.0                           2.0  741.416667            0.882908               18.0   43.0
591    886.551098                 12.0                           1.0  753.433333            0.914498               18.0   44.0
592    900.697518                 11.0                           1.0  744.433333            0.936251               18.0   44.0
593    893.774516                 10.0                           1.0  722.333333            0.933460               18.0   38.0
594    822.292880                 14.0                           2.0  720.350000            0.858083               10.0   91.0
595    864.544843                 17.0                           2.0  721.100000            0.903901               12.0   78.0
596    737.229939                 12.0                           4.0  725.716667            0.771593               12.0  115.0
597    804.742365                 13.0                           3.0  726.583333            0.840000               11.0  106.0
598    880.508401                 13.0                           1.0  753.333333            0.928639               18.0   38.0
599    879.421446                 13.0                           1.0  723.333333            0.932692               18.0   38.0
600    871.160544                 14.0                           1.0  735.333333            0.932236               18.0   38.0
601    871.488341                 11.0                           1.0  730.333333            0.911848               18.0   38.0
602    743.635568                 14.0                           4.0  720.366667            0.787152               11.0   93.0
603    756.563969                 14.0                           4.0  733.383333            0.792471               11.0   94.0
604    807.738065                 14.0                           3.0  721.416667            0.835681               10.0   95.0
605    784.653554                 15.0                           3.0  722.283333            0.821970               11.0   88.0
606    835.283599                 11.0                           2.0  727.416667            0.873001               18.0   43.0
607    879.438502                 10.0                           1.0  739.333333            0.928846               18.0   38.0
608    842.108642                 11.0                           2.0  735.416667            0.875696               18.0   43.0
609    870.928790                 11.0                           1.0  737.333333            0.918504               18.0   38.0
610    933.634316                 14.0                           0.0  749.433333            0.976326               18.0   44.0
611    884.469721                 12.0                           1.0  725.333333            0.932122               18.0   38.0
612    824.777935                 14.0                           2.0  720.466667            0.861163               11.0   99.0
613    872.649753                  4.0                           1.0  735.333333            0.891144               18.0   38.0
614    870.956244                 11.0                           1.0  745.333333            0.913408               18.0   38.0
615    793.050749                 14.0                           2.0  742.483333            0.829808               12.0  101.0
616    876.857658                 11.0                           1.0  741.333333            0.931973               18.0   38.0
617    838.221551                 14.0                           2.0  723.400000            0.885880               11.0   95.0
618    764.736910                 14.0                           4.0  724.383333            0.802913               11.0   94.0
619    792.240871                 14.0                           3.0  745.400000            0.830476               11.0   95.0
620    870.947591                 13.0                           1.0  733.333333            0.921588               18.0   38.0
621    805.290570                 10.0                           3.0  751.400000            0.839885               19.0   43.0
622    845.085044                 16.0                           2.0  743.266667            0.883962               12.0   88.0
623    870.611566                 15.0                           1.0  732.283333            0.908491               11.0   88.0
624    765.269174                 14.0                           4.0  727.366667            0.801153               11.0   93.0
625    846.126090                 15.0                           2.0  720.300000            0.884615               11.0   89.0
626    875.857120                 14.0                           1.0  740.333333            0.937439               18.0   38.0
627    889.894456                  8.0                           1.0  720.333333            0.925118               18.0   38.0
628    845.065126                 11.0                           2.0  742.416667            0.875000               18.0   43.0
629    874.503858                  9.0                           1.0  739.333333            0.917536               18.0   38.0
630    742.239010                 14.0                           4.0  753.366667            0.782150               19.0   41.0
631    793.656709                 14.0                           3.0  721.400000            0.833333               10.0   94.0
632    876.867423                 13.0                           1.0  731.333333            0.923077               18.0   38.0
633    867.690258                  9.0                           1.0  723.333333            0.902052               18.0   38.0
634    841.993426                 15.0                           2.0  725.400000            0.884947               18.0   42.0
635    879.322855                 11.0                           1.0  750.333333            0.921206               19.0   39.0
636    748.586096                 10.0                           4.0  738.383333            0.785038               18.0   41.0
637    869.309008                 13.0                           1.0  723.333333            0.919417               18.0   38.0
638    787.471512                 16.0                           3.0  741.183333            0.830116               12.0   83.0
639    822.458409                 15.0                           2.0  730.250000            0.858614               11.0   86.0
640    843.995667                 12.0                           2.0  747.400000            0.885849               18.0   42.0
641    752.891829                 16.0                           4.0  728.266667            0.796562               11.0   87.0
642    840.649569                 15.0                           2.0  721.283333            0.877395               11.0   88.0
643    846.681789                 13.0                           2.0  738.416667            0.885122               18.0   43.0
644    807.447444                 15.0                           3.0  721.333333            0.841255               11.0   91.0
645    867.559847                 12.0                           1.0  720.333333            0.924198               18.0   38.0
646    782.770828                 13.0                           3.0  730.466667            0.818966               11.0   99.0
647    748.378384                 11.0                           4.0  720.366667            0.781765               18.0   40.0
648    876.388259                 10.0                           1.0  735.333333            0.911623               18.0   38.0
649    741.955883                 15.0                           4.0  724.266667            0.781818               11.0   87.0
650    877.484333                 13.0                           1.0  745.333333            0.928707               18.0   38.0
651    869.996760                  8.0                           1.0  749.333333            0.914611               18.0   38.0
652    869.726150                  8.0                           1.0  728.333333            0.904225               18.0   38.0
653    877.183939                 12.0                           1.0  728.333333            0.928640               18.0   38.0
654    759.120477                 15.0                           4.0  721.350000            0.797883               12.0   93.0
655    802.359054                 15.0                           3.0  722.350000            0.828408               11.0   92.0
656    784.645147                 15.0                           3.0  720.266667            0.819828               11.0   87.0
657    840.330104                 17.0                           2.0  728.050000            0.888889               12.0   75.0
658    804.678750                 16.0                           3.0  729.166667            0.843454               11.0   81.0
659    871.781868                 13.0                           1.0  738.333333            0.918033               18.0   38.0
660    739.361411                 12.0                           4.0  732.383333            0.777565               18.0   41.0
661    800.014515                 14.0                           3.0  724.383333            0.840152               11.0   94.0
662    879.941855                 11.0                           1.0  736.333333            0.920076               18.0   38.0
663    882.899477                 12.0                           1.0  748.333333            0.928023               19.0   39.0
664    836.011866                 13.0                           2.0  734.400000            0.883877               18.0   42.0
665    798.893239                 13.0                           3.0  736.383333            0.838863               18.0   41.0
666    878.689363                 12.0                           1.0  740.333333            0.924038               18.0   38.0
667    876.533927                 10.0                           1.0  735.333333            0.921402               18.0   38.0
668    841.632731                 15.0                           2.0  742.416667            0.892381               18.0   43.0
669    841.129198                 13.0                           2.0  741.400000            0.886775               18.0   42.0
670    736.515423                 10.0                           4.0  745.366667            0.771292               19.0   41.0
671    870.394427                 11.0                           1.0  728.333333            0.918269               18.0   38.0
672    874.638291                 11.0                           1.0  725.333333            0.922265               18.0   38.0
673    844.136443                 14.0                           2.0  726.533333            0.883523               12.0  104.0
674    796.939558                 14.0                           3.0  732.350000            0.839885               11.0   92.0
675    782.769508                 14.0                           3.0  742.350000            0.826886               11.0   92.0
676    873.171818                 11.0                           1.0  727.333333            0.918605               18.0   38.0
677    880.613485                 10.0                           1.0  734.333333            0.922414               18.0   38.0
678    716.722006                 15.0                           5.0  726.316667            0.754098               11.0   90.0
679    848.009130                 17.0                           2.0  740.133333            0.886578               12.0   80.0
680    809.193047                 16.0                           3.0  747.166667            0.846805               12.0   82.0
681    867.920050                  9.0                           1.0  753.333333            0.906844               19.0   39.0
682    882.774449                 15.0                           1.0  732.333333            0.937924               18.0   38.0
683    871.190453                 11.0                           1.0  720.333333            0.917300               18.0   38.0
684    873.481105                 12.0                           1.0  746.333333            0.927273               18.0   38.0
685    866.037694                 10.0                           1.0  748.333333            0.908577               18.0   38.0
686    696.314025                 13.0                           5.0  728.450000            0.730695               11.0   98.0
687    795.616199                 14.0                           3.0  723.366667            0.836207               11.0   93.0
688    873.424854                 11.0                           1.0  748.416667            0.913696               18.0   43.0
689    871.252736                  9.0                           1.0  732.333333            0.918893               18.0   38.0
690    883.215612                  9.0                           1.0  728.333333            0.918738               18.0   38.0
691    841.884480                 13.0                           2.0  756.433333            0.875849               18.0   44.0
692    875.632359                 13.0                           1.0  731.333333            0.937316               18.0   38.0
693    867.724811                 11.0                           1.0  738.333333            0.917703               18.0   38.0
694    842.684699                 12.0                           2.0  721.416667            0.883008               17.0   42.0
695    870.724716                 12.0                           1.0  730.333333            0.921722               18.0   38.0
696    865.552583                 11.0                           1.0  727.333333            0.909696               18.0   38.0
697    879.086233                 11.0                           1.0  721.333333            0.923518               18.0   38.0
698    842.494286                 10.0                           2.0  730.400000            0.883019               18.0   42.0
699    885.838539                 11.0                           1.0  725.333333            0.930674               18.0   38.0
700    760.444210                 15.0                           4.0  722.283333            0.801758               11.0   88.0
701    839.811408                 16.0                           2.0  730.150000            0.895050               12.0   81.0
702    704.507305                 13.0                           5.0  740.466667            0.731100               11.0   99.0
703    867.926265                 10.0                           1.0  737.333333            0.910462               18.0   38.0
704    840.019679                 14.0                           2.0  739.416667            0.879195               18.0   43.0
705    868.143028                 13.0                           1.0  723.333333            0.917636               18.0   38.0
706    852.355325                 15.0                           2.0  720.416667            0.888350               18.0   43.0
707    795.966852                 16.0                           3.0  744.150000            0.846302               12.0   81.0
708    744.949250                 10.0                           4.0  754.383333            0.773585               19.0   42.0
709    843.867384                 13.0                           2.0  733.400000            0.887726               18.0   42.0
710    781.057454                 11.0                           3.0  725.383333            0.826045               18.0   41.0
711    874.322184                 11.0                           1.0  726.333333            0.916828               18.0   38.0
712    870.687928                 14.0                           1.0  732.333333            0.927255               18.0   38.0
713    870.696070                 10.0                           1.0  727.333333            0.918841               18.0   38.0
714    843.972645                 13.0                           2.0  754.400000            0.886647               19.0   43.0
715    843.022607                 16.0                           2.0  722.283333            0.886792               12.0   89.0
716    910.263911                 17.0                           1.0  740.116667            0.947566               12.0   79.0
717    854.516921                 16.0                           2.0  726.116667            0.893396               10.0   77.0
718    842.954218                 10.0                           2.0  744.400000            0.876791               18.0   42.0
719    886.628798                 12.0                           1.0  724.433333            0.915428               17.0   43.0
720    720.659855                 14.0                           5.0  730.433333            0.749280               12.0   98.0
721    880.216277                 12.0                           1.0  721.333333            0.922348               18.0   38.0
722    846.680739                 11.0                           2.0  724.416667            0.886040               17.0   42.0
723    870.412408                  9.0                           1.0  736.333333            0.911005               18.0   38.0
724    757.824297                 14.0                           4.0  722.416667            0.791031               11.0   96.0
725    850.566167                 16.0                           2.0  726.283333            0.901057               13.0   90.0
726    883.219364                  8.0                           1.0  725.333333            0.917132               18.0   38.0
727    869.505003                 11.0                           1.0  744.333333            0.916908               19.0   39.0
728    877.909891                 14.0                           1.0  726.333333            0.933781               18.0   38.0
729    873.639813                 13.0                           1.0  721.333333            0.924051               18.0   38.0
730    879.573992                 12.0                           1.0  747.333333            0.934442               18.0   38.0
731    878.341043                 13.0                           1.0  731.333333            0.933204               18.0   38.0
732    788.347862                 10.0                           3.0  734.383333            0.826941               18.0   41.0
733    870.284400                 10.0                           1.0  747.333333            0.916023               18.0   38.0
734    832.504524                 15.0                           2.0  724.216667            0.879495               11.0   84.0
735    886.261671                 18.0                           1.0  741.333333            0.950593               18.0   38.0
736    879.059904                  9.0                           1.0  725.333333            0.921476               18.0   38.0
737    875.857303                 14.0                           1.0  722.333333            0.936477               18.0   38.0
738    844.844308                 14.0                           2.0  753.416667            0.885387               19.0   44.0
739    742.979158                 12.0                           4.0  749.366667            0.778958               19.0   41.0
740    932.286600                 13.0                           0.0  742.433333            0.984791               18.0   44.0
741    788.606357                 14.0                           3.0  742.383333            0.827195               18.0   41.0
742    792.959983                 15.0                           3.0  729.400000            0.833969               18.0   42.0
743    870.505371                 10.0                           1.0  733.333333            0.919922               18.0   38.0
744    756.019678                 15.0                           4.0  729.316667            0.795699               12.0   91.0
745    760.274135                 15.0                           4.0  738.300000            0.798658               12.0   90.0
746    879.606512                  9.0                           1.0  740.333333            0.920680               18.0   38.0
747    845.329327                 16.0                           2.0  747.200000            0.884328               12.0   84.0
748    873.563736                 12.0                           1.0  720.333333            0.923754               18.0   38.0
749    872.880425                  9.0                           1.0  739.333333            0.917703               18.0   38.0
750    875.423468                 11.0                           1.0  736.333333            0.911260               18.0   38.0
751    760.173612                 14.0                           4.0  724.416667            0.804054               11.0   96.0
752    883.782896                  9.0                           1.0  745.333333            0.925287               18.0   38.0
753    782.707980                 11.0                           3.0  722.400000            0.814218               18.0   42.0
754    834.854430                 14.0                           2.0  725.400000            0.870353               11.0   95.0
755    793.214565                 15.0                           3.0  720.250000            0.839338               11.0   86.0
756    763.114926                 13.0                           4.0  722.483333            0.794313               11.0  100.0
757    874.787334                 11.0                           1.0  724.333333            0.924565               18.0   38.0
758    754.423825                 15.0                           3.0  731.300000            0.797642               12.0   90.0
759    787.994909                 15.0                           3.0  731.300000            0.825670               12.0   90.0
760    885.175262                 13.0                           1.0  731.333333            0.933204               18.0   38.0
761    872.073547                 16.0                           1.0  736.333333            0.934698               18.0   38.0
762    882.817116                  9.0                           1.0  738.333333            0.923965               18.0   38.0
763    754.741233                 14.0                           4.0  745.383333            0.794651               18.0   41.0
764    809.139964                 13.0                           3.0  722.466667            0.841954               10.0   98.0
765    763.760951                 13.0                           4.0  724.566667            0.798311               11.0  105.0
766    935.411744                 16.0                           0.0  724.250000            0.988701               12.0   87.0
767    885.109639                 10.0                           1.0  726.333333            0.924833               18.0   38.0
768    834.798202                 14.0                           2.0  720.383333            0.869150               11.0   94.0
769    764.333837                 15.0                           4.0  721.316667            0.794752               11.0   90.0
770    718.518448                 14.0                           4.0  724.400000            0.746835               11.0   95.0
771    796.636209                 13.0                           3.0  742.400000            0.837143               18.0   42.0
772    868.795830                 11.0                           1.0  731.333333            0.913580               18.0   38.0
773    881.232325                 12.0                           1.0  721.333333            0.921663               18.0   38.0
774    871.076669                 10.0                           1.0  744.333333            0.917228               18.0   38.0
775    874.325099                  9.0                           1.0  736.333333            0.920680               18.0   38.0
776    929.837586                 10.0                           0.0  727.450000            0.966165               17.0   44.0
777    944.886887                 15.0                           0.0  720.383333            0.984834               13.0   96.0
778    871.769283                 12.0                           1.0  728.333333            0.920605               18.0   38.0
779    865.426712                 11.0                           1.0  736.333333            0.916828               18.0   38.0
780    763.377995                 14.0                           4.0  724.350000            0.794481               11.0   92.0
781    884.862760                 14.0                           1.0  743.450000            0.926597               11.0   98.0
782    877.605230                 10.0                           1.0  727.333333            0.921890               18.0   38.0
783    934.038786                 15.0                           0.0  722.433333            0.989564               17.0   43.0
784    842.937325                 14.0                           2.0  720.500000            0.891635               11.0  101.0
785    743.339810                 13.0                           4.0  737.366667            0.786603               19.0   41.0
786    889.382680                 13.0                           1.0  723.433333            0.935266               17.0   43.0
787    873.389880                 15.0                           1.0  738.333333            0.926174               18.0   38.0
788    875.913176                 11.0                           1.0  747.333333            0.925573               18.0   38.0
