N     Total_reward  Satisfied_customers  Customers_without_deliveries  Total_time  Total_satisfaction  Wharehouse_visits  Trips
89     844.930283                 16.0                           2.0  720.166667            0.884507               11.0   81.0
90     877.632977                 10.0                           1.0  732.333333            0.927326               18.0   38.0
91     795.799395                 14.0                           3.0  725.450000            0.841346               11.0   98.0
92     868.990215                 12.0                           1.0  722.333333            0.915720               18.0   38.0
93     810.452110                 14.0                           3.0  724.433333            0.844019               11.0   97.0
94     862.802571                  9.0                           1.0  736.333333            0.898131               18.0   38.0
95     877.928851                 13.0                           1.0  730.333333            0.927954               18.0   38.0
96     875.227277                 13.0                           1.0  725.333333            0.929187               18.0   38.0
97     877.529639                  8.0                           1.0  729.333333            0.914692               18.0   38.0
98     780.404895                 13.0                           3.0  738.383333            0.825503               18.0   41.0
99     768.558293                 14.0                           3.0  734.316667            0.815134               11.0   90.0
100    836.585284                 11.0                           2.0  726.416667            0.874638               18.0   43.0
101    712.949899                 15.0                           5.0  722.550000            0.749762               12.0  105.0
102    877.522516                 10.0                           1.0  743.400000            0.915640               18.0   42.0
103    878.657293                  9.0                           1.0  742.333333            0.913333               18.0   38.0
104    829.585438                 12.0                           2.0  738.400000            0.870544               18.0   42.0
105    797.268021                 14.0                           3.0  721.416667            0.838521               11.0   96.0
106    873.716376                 12.0                           1.0  723.333333            0.924528               18.0   38.0
107    757.120605                 15.0                           4.0  721.300000            0.794947               11.0   89.0
108    835.182856                 16.0                           2.0  723.150000            0.890700               12.0   81.0
109    866.874325                 11.0                           1.0  741.333333            0.924638               18.0   38.0
110    808.209222                 15.0                           3.0  721.316667            0.839774               11.0   90.0
111    782.758178                 14.0                           3.0  720.466667            0.834623               11.0   99.0
112    844.845835                 14.0                           2.0  733.400000            0.884652               18.0   42.0
113    743.656434                 13.0                           4.0  732.466667            0.785784               11.0   99.0
114    789.165153                 14.0                           3.0  738.400000            0.835101               18.0   42.0
115    880.105260                 11.0                           1.0  752.333333            0.926316               18.0   38.0
116    879.176923                 14.0                           1.0  740.333333            0.937319               18.0   38.0
117    881.243313                 14.0                           1.0  745.333333            0.930867               18.0   38.0
118    859.927567                 11.0                           1.0  723.333333            0.911453               18.0   38.0
119    838.991364                 11.0                           2.0  741.400000            0.881179               18.0   42.0
120    838.710049                 15.0                           2.0  721.300000            0.886233               11.0   89.0
121    874.188467                 10.0                           1.0  735.333333            0.918868               18.0   38.0
122    800.630264                 14.0                           3.0  722.383333            0.845720               10.0   93.0
123    789.101430                 13.0                           3.0  734.416667            0.822907               18.0   43.0
124    796.887556                 15.0                           3.0  731.350000            0.832856               12.0   93.0
125    726.867931                 15.0                           4.0  724.300000            0.756991               11.0   89.0
126    798.770006                 17.0                           3.0  739.083333            0.847637               13.0   78.0
127    875.943207                 11.0                           1.0  722.333333            0.918426               18.0   38.0
128    876.128378                 12.0                           1.0  748.333333            0.921456               18.0   38.0
129    885.501258                 13.0                           1.0  739.333333            0.937870               18.0   38.0
130    882.335820                 11.0                           1.0  738.333333            0.930210               18.0   38.0
131    869.760892                  9.0                           1.0  735.333333            0.906250               18.0   38.0
132    798.545435                 15.0                           3.0  735.366667            0.834297               12.0   94.0
133    862.703298                 11.0                           1.0  731.333333            0.902277               18.0   38.0
134    870.146937                  6.0                           1.0  733.333333            0.904447               18.0   38.0
135    813.045369                 16.0                           3.0  722.266667            0.855630               11.0   87.0
136    812.131555                 15.0                           3.0  725.300000            0.851781               11.0   89.0
137    766.472712                 15.0                           4.0  721.366667            0.798104               11.0   93.0
138    773.190028                 15.0                           4.0  724.316667            0.802669               11.0   90.0
139    789.045410                 15.0                           3.0  736.366667            0.824762               12.0   94.0
140    883.025193                 14.0                           1.0  738.416667            0.935328               18.0   43.0
141    867.199252                 11.0                           1.0  747.333333            0.917546               19.0   39.0
142    809.735272                 15.0                           3.0  721.366667            0.844193               11.0   93.0
143    840.084905                 14.0                           2.0  720.400000            0.887931               18.0   42.0
144    730.294186                 12.0                           4.0  745.366667            0.765267               19.0   41.0
145    886.532513                 11.0                           1.0  723.333333            0.931947               18.0   38.0
146    880.955870                 16.0                           1.0  720.416667            0.935639               17.0   42.0
147    743.996599                 14.0                           4.0  723.383333            0.780769               11.0   94.0
148    829.013904                 11.0                           2.0  739.383333            0.871212               18.0   41.0
149    760.742668                 14.0                           4.0  722.433333            0.783962               11.0   97.0
