,Total_reward,Satisfied_customers,Customers_without_deliveries,Total_time,Total_satisfaction,Wharehouse_visits,Trips
0,701.0647754551444,15.0,5.0,722.2333333333329,0.7421800947867299,11.0,85.0
1,749.2879398560151,15.0,4.0,720.1999999999995,0.8007889546351085,11.0,83.0
2,717.30911651364,15.0,5.0,722.1833333333329,0.7416267942583732,11.0,82.0
3,896.8652813219335,19.0,1.0,730.3333333333335,0.9535113748763601,16.0,36.0
4,782.359137780674,15.0,4.0,720.3499999999993,0.8054003724394786,12.0,93.0
5,886.4760427566775,19.0,1.0,726.3333333333335,0.9518768046198267,17.0,37.0
6,733.9889759653875,15.0,5.0,723.1833333333328,0.7568331762488218,11.0,82.0
7,708.1503094487696,15.0,5.0,724.1666666666663,0.7506976744186047,11.0,81.0
8,669.9532967740829,14.0,6.0,742.3166666666659,0.69377990430622,12.0,91.0
9,701.1315319752903,15.0,4.0,721.4166666666661,0.7440476190476191,13.0,98.0
10,894.7334557617485,19.0,1.0,738.3333333333335,0.9409005628517824,18.0,38.0
11,762.9087699543503,15.0,4.0,727.1666666666662,0.78,11.0,81.0
12,749.4853873469058,15.0,5.0,728.2499999999995,0.7569060773480663,12.0,87.0
13,743.037446008986,15.0,3.0,720.2166666666661,0.7893203883495146,11.0,84.0
14,883.6821682823166,19.0,1.0,740.3333333333335,0.9425287356321839,17.0,37.0
15,727.812076314732,15.0,5.0,727.2999999999994,0.756120527306968,12.0,90.0
16,881.8222818928842,19.0,1.0,739.3333333333335,0.9412915851272016,17.0,37.0
17,741.773450569619,15.0,4.0,749.1666666666662,0.765315739868049,11.0,81.0
18,875.4937021521109,19.0,1.0,724.3333333333335,0.9398422090729783,17.0,37.0
19,665.3336148556386,14.0,6.0,722.3666666666661,0.6935483870967742,11.0,93.0
20,777.6946336707133,16.0,4.0,722.0833333333329,0.7951582867783985,11.0,76.0
21,741.1832035963598,15.0,5.0,726.1833333333328,0.766953199617956,11.0,82.0
22,693.413508065142,14.0,5.0,722.3499999999995,0.7211538461538461,11.0,92.0
23,724.9973112345797,15.0,4.0,728.1833333333329,0.7601510859301227,11.0,82.0
24,690.1828782134464,14.0,5.0,727.3499999999995,0.7317073170731707,11.0,92.0
25,699.2658701088604,14.0,5.0,722.4499999999994,0.7352941176470589,12.0,99.0
26,862.9976213504023,19.0,1.0,757.3333333333335,0.9526686807653575,17.0,37.0
27,875.6609421705825,18.0,1.0,727.8666666666663,0.9111531190926276,14.0,66.0
28,768.8740230345985,15.0,4.0,720.1999999999994,0.8116370808678501,12.0,84.0
29,764.1409938861416,15.0,4.0,729.2166666666661,0.7897240723120837,12.0,85.0
30,729.4813888320093,15.0,5.0,722.2999999999993,0.7580487804878049,12.0,90.0
31,682.5002948450808,14.0,5.0,720.3499999999995,0.704225352112676,11.0,92.0
32,889.9499208096368,19.0,1.0,737.3333333333335,0.9615004935834156,17.0,37.0
33,687.536255589966,14.0,6.0,723.2999999999994,0.7101584342963654,11.0,89.0
34,667.5691104105168,15.0,5.0,736.1833333333328,0.7328094302554028,11.0,82.0
35,728.707985627603,15.0,5.0,728.1833333333329,0.7560975609756098,11.0,82.0
36,689.8287265447368,14.0,5.0,723.3999999999994,0.7218479307025987,12.0,96.0
37,896.6533621823372,19.0,1.0,733.3333333333335,0.961577350859454,18.0,38.0
38,719.6849689987937,15.0,5.0,736.1666666666662,0.7390891840607211,11.0,81.0
39,673.4731021024047,15.0,5.0,723.2333333333328,0.7203980099502487,11.0,85.0
40,735.9964320777782,14.0,4.0,743.3333333333326,0.782187802516941,12.0,92.0
41,901.1755363869188,19.0,1.0,742.3333333333334,0.9535113748763601,18.0,38.0
42,716.9049311364449,15.0,5.0,721.2333333333328,0.7616632860040567,11.0,85.0
43,727.910026077184,15.0,5.0,720.1499999999995,0.750242013552759,11.0,80.0
44,891.732756786829,19.0,1.0,720.3333333333335,0.9489322191272052,16.0,36.0
45,771.9983584615777,15.0,4.0,720.1833333333328,0.7838095238095238,11.0,82.0
46,706.0351166705193,14.0,5.0,736.3999999999994,0.7211538461538461,12.0,96.0
47,784.8899090105764,15.0,4.0,723.1833333333328,0.798670465337132,11.0,82.0
48,903.1487559199777,19.0,1.0,732.3333333333335,0.9402843601895735,17.0,37.0
49,772.5623100573791,16.0,4.0,745.0499999999995,0.8037109375,12.0,75.0
50,829.3923794228563,17.0,3.0,722.883333333333,0.8603145235892692,11.0,64.0
51,784.5467657596311,16.0,3.0,720.1666666666662,0.8279467680608364,12.0,82.0
52,770.2479917905052,16.0,4.0,723.1499999999994,0.8112094395280236,12.0,81.0
53,737.1124715421583,15.0,5.0,722.1333333333329,0.7618147448015122,11.0,79.0
54,662.9420126088866,14.0,6.0,730.2499999999994,0.6869328493647913,11.0,86.0
55,738.6251046913189,14.0,4.0,723.3166666666662,0.7385321100917431,11.0,90.0
56,785.0907593453751,16.0,4.0,727.9999999999995,0.8215686274509804,11.0,71.0
57,741.7838217094488,15.0,4.0,729.1499999999995,0.7756286266924565,11.0,80.0
58,873.7185254819872,19.0,1.0,723.3333333333335,0.9471624266144814,17.0,37.0
59,749.665985248176,15.0,5.0,724.1833333333328,0.7661971830985915,11.0,82.0
60,718.2804761506716,15.0,5.0,720.1499999999994,0.74,11.0,80.0
61,784.0015877986696,15.0,3.0,741.1999999999995,0.8093023255813954,12.0,84.0
62,793.3904553855049,16.0,3.0,724.9833333333329,0.825964252116651,11.0,70.0
63,703.0646912897064,15.0,5.0,723.1833333333328,0.7356656948493683,11.0,82.0
64,781.2686770611017,15.0,4.0,722.2333333333328,0.781021897810219,11.0,85.0
65,710.4591747063811,15.0,5.0,721.1499999999994,0.753,11.0,80.0
66,724.931165273294,15.0,5.0,724.1999999999995,0.752851711026616,11.0,83.0
67,687.113892185027,14.0,5.0,726.1999999999995,0.7157598499061913,12.0,84.0
68,734.8233825650394,15.0,5.0,728.1499999999995,0.7625830959164293,11.0,80.0
69,690.6997928552692,14.0,5.0,743.2833333333327,0.7190795781399808,11.0,88.0
70,875.6172696723559,19.0,1.0,728.3333333333335,0.942713567839196,17.0,37.0
71,724.884602884123,15.0,5.0,720.2333333333328,0.752895752895753,11.0,85.0
72,692.713287854127,14.0,5.0,721.2833333333328,0.706880301602262,10.0,87.0
73,679.6879912112261,14.0,5.0,737.2999999999994,0.7177033492822966,11.0,89.0
74,818.2060480393965,17.0,3.0,739.9999999999995,0.851363236587511,13.0,73.0
75,671.6377980267813,14.0,5.0,720.2666666666661,0.7115749525616698,10.0,86.0
76,742.0895923165688,16.0,4.0,722.0499999999996,0.7970149253731343,11.0,74.0
77,709.7116784817861,14.0,5.0,724.2666666666661,0.7295719844357976,10.0,86.0
78,764.189594981769,15.0,4.0,721.1333333333329,0.7998154981549815,10.0,78.0
79,756.350752059225,15.0,4.0,722.1999999999995,0.8001978239366964,11.0,83.0
80,884.7738155049458,19.0,1.0,749.3333333333335,0.9421407907425265,18.0,38.0
