"",GraphDist,Graph2Vec,GL2Vec,WaveletCh,GL2Vec128
GraphDist,1.000000,0.115724,0.562940,0.636898,0.476575
Graph2Vec,0.115724,1.000000,0.173341,0.192150,0.201032
GL2Vec,0.562940,0.173341,1.000000,0.293227,0.889940
WaveletCh,0.636898,0.192150,0.293227,1.000000,0.205979
GL2Vec128,0.476575,0.201032,0.889940,0.205979,1.000000
