"",GraphDist,Graph2Vec,GL2Vec,WaveletCh,GL2Vec128
GraphDist,1.000000,0.563937,0.618734,0.868211,0.557471
Graph2Vec,0.563937,1.000000,0.611104,0.657177,0.720237
GL2Vec,0.618734,0.611104,1.000000,0.363812,0.951208
WaveletCh,0.868211,0.657177,0.363812,1.000000,0.348912
GL2Vec128,0.557471,0.720237,0.951208,0.348912,1.000000
